,lamar.csv
261,0.9171308246162206
262,0.9224290177964951
263,0.9288140198342616
264,0.9254177421545986
265,0.9414481728026083
266,0.9448444504822713
267,0.9445727482678983
268,0.94606711044695
269,0.950414345876919
270,0.9529955169134627
271,0.9679391387039804
272,0.958022007879364
273,0.9669881809536749
274,0.9781279717429696
275,0.9816601005298193
276,0.9672598831680477
277,0.9588371145224832
278,0.9498709414481727
279,0.9555766879500067
280,0.9547615813068875
281,0.950957750305665
282,0.9584295612009237
283,0.9634560521668252
284,0.9622333922021464
285,0.9578861567721777
286,0.960331476701535
287,0.9505501969841053
288,0.951501154734411
289,0.952044559163157
290,0.9391387039804373
291,0.9379160440157588
292,0.9714712674908301
293,1.0
294,0.9870941448172801
295,0.9918489335688085
296,0.9849205271022958
297,0.9773128650998504
298,0.9722863741339491
299,0.9642711588099442
300,0.9544898790925147
301,0.956663496807499
302,0.9528596658062762
303,0.944980301589458
304,0.94606711044695
305,0.943757641624779
306,0.9440293438391523
307,0.952044559163157
308,0.9544898790925147
309,0.959516370058416
310,0.9612824344518407
311,0.9626409455237059
312,0.9529955169134627
313,0.9441651949463388
314,0.93669338405108
315,0.9237875288683604
316,0.9319385952995518
317,0.9274555087623964
318,0.9089797581850292
319,0.9024589050400762
320,0.893085178644206
321,0.8812661323189785
322,0.8660508083140877
323,0.8678168727075124
324,0.8748811302812118
325,0.8665942127428339
326,0.8496128243445185
327,0.8395598424127155
328,0.8430919711995652
329,0.8424127156636327
330,0.8451297378073632
331,0.8539600597744872
332,0.8493411221301452
333,0.852601548702622
334,0.8546393153104197
335,0.846895802200788
336,0.8316804781958973
337,0.8282842005162341
338,0.8426844178780057
339,0.8429561200923787
340,0.8350767558755603
341,0.8387447357695965
342,0.8433636734139383
343,0.836027713625866
344,0.8205406874066024
345,0.8189104741203641
346,0.8167368564053799
347,0.8190463252275506
348,0.8266539872299961
349,0.8406466512702078
350,0.8320880315174568
351,0.8263822850156228
352,0.8267898383371823
353,0.8254313272653173
354,0.7992120635783182
355,0.786442059502785
356,0.783589186251868
357,0.7754381198206766
358,0.7588642847439206
359,0.7523434315989674
360,0.731694063306616
361,0.7397092786306207
362,0.7561472626001902
363,0.7599510936014129
364,0.7560114114930037
365,0.7516641760630349
366,0.7526151338133407
367,0.7772041842141013
368,0.7767966308925418
369,0.7880722727890233
370,0.783317484037495
371,0.778155141964407
372,0.795000679255536
373,0.8000271702214372
374,0.8079065344382557
375,0.8081782366526289
376,0.8095367477244939
377,0.8053253634017117
378,0.8030158945795407
379,0.8024724901507949
380,0.8081782366526289
381,0.8020649368292352
382,0.8050536611873387
383,0.7797853552506453
384,0.789294932753702
385,0.79445727482679
386,0.795815785898655
387,0.8041027034370329
388,0.8129330254041571
389,0.8202689851922291
390,0.8133405787257166
391,0.8083140877598152
392,0.8140198342616491
393,0.8096725988316806
394,0.8129330254041571
395,0.8170085586197526
396,0.8161934519766336
397,0.8065480233663904
398,0.7905175927183807
399,0.7556038581714442
400,0.749083005026491
401,0.7561472626001902
